player_id,name,team,age,nationality,photo,primary_position,detailed_position,position_group,position_confidence,minutes,rating,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
15908,M. Damsgaard,Brentford,25.0,Denmark,https://media.api-sports.io/football/players/15908.png,CAM,CAM,AM,79.2,2078,7.01,63.4,79.5,71.8,38.9,54.5,46.3
15911,M. Kudus,Tottenham,25.0,Ghana,https://media.api-sports.io/football/players/15911.png,RW,RW,W,78.9,1545,6.89,59.9,51.9,74.4,45.9,60.7,55.7
17661,J. Branthwaite,Everton,23.0,England,https://media.api-sports.io/football/players/17661.png,CB,CB,CB,71.4,689,7.05,30.3,49.1,54.9,72.3,83.0,79.2
18592,I. Ndiaye,Everton,25.0,Senegal,https://media.api-sports.io/football/players/18592.png,RW,RW,W,53.1,2798,6.88,72.9,50.1,43.9,56.0,49.7,78.1
18742,M. Doherty,Wolves,33.0,Republic of Ireland,https://media.api-sports.io/football/players/18742.png,CB,CB,CB,54.5,791,6.55,32.8,27.9,53.1,25.5,39.6,16.6
18744,M. Kilman,West Ham,28.0,England,https://media.api-sports.io/football/players/18744.png,CB,CB,CB,100.0,1565,6.6,35.8,26.8,42.9,41.0,48.4,30.8
18746,M. Gibbs-White,Nottingham Forest,25.0,England,https://media.api-sports.io/football/players/18746.png,CAM,CAM,AM,77.1,3110,6.92,59.6,55.3,56.1,78.7,57.1,84.9
18753,Adama Traoré,Fulham,29.0,Spain,https://media.api-sports.io/football/players/18753.png,RW,RW,W,100.0,318,6.51,40.1,14.9,22.4,26.3,24.4,13.4
18766,D. Calvert-Lewin,Leeds,28.0,England,https://media.api-sports.io/football/players/18766.png,ST,ST,FW,100.0,2726,6.71,39.1,45.6,40.7,55.6,44.0,56.1
18778,H. Barnes,Newcastle,28.0,England,https://media.api-sports.io/football/players/18778.png,LW,LW,W,68.4,1970,6.77,36.1,40.9,26.5,72.2,44.9,79.1
18806,W. Hughes,Crystal Palace,30.0,England,https://media.api-sports.io/football/players/18806.png,CM,CM,CM,100.0,1577,6.78,44.6,40.0,50.7,29.4,50.9,7.6
18814,I. Diop,Fulham,28.0,France,https://media.api-sports.io/football/players/18814.png,CB,CB,CB,100.0,827,6.64,56.4,39.2,18.5,42.8,16.5,76.1
18846,A. Wan-Bissaka,West Ham,28.0,England,https://media.api-sports.io/football/players/18846.png,RB,RB,FB,65.2,2084,6.64,34.8,32.9,51.4,21.5,37.6,16.0
18861,N. Aké,Manchester City,30.0,Netherlands,https://media.api-sports.io/football/players/18861.png,CB,CB,CB,50.0,703,6.81,50.4,81.2,58.4,48.2,63.6,33.6
18862,N. Clyne,Crystal Palace,34.0,England,https://media.api-sports.io/football/players/18862.png,RWB,RWB,FB,85.7,604,6.59,32.2,19.4,41.2,31.2,35.5,16.0
18869,A. Smith,Bournemouth,34.0,England,https://media.api-sports.io/football/players/18869.png,RB,RB,FB,100.0,1095,6.54,28.3,19.7,28.5,9.9,4.7,16.0
18870,D. Brooks,Bournemouth,28.0,Wales,https://media.api-sports.io/football/players/18870.png,RW,RW,W,53.8,1220,6.66,64.0,82.5,70.7,71.8,73.1,39.9
18872,L. Cook,Bournemouth,28.0,England,https://media.api-sports.io/football/players/18872.png,CDM,CDM,DM,87.5,905,6.86,51.8,52.6,51.8,10.1,23.8,8.0
18883,D. Solanke,Tottenham,28.0,England,https://media.api-sports.io/football/players/18883.png,ST,ST,FW,100.0,1000,6.87,52.7,31.0,42.6,43.0,44.9,68.4
18885,K. Darlow,Leeds,35.0,England,https://media.api-sports.io/football/players/18885.png,GK,GK,GK,100.0,1985,7.05,87.1,64.5,49.2,57.1,57.5,50.6
18886,M. Dúbravka,Burnley,36.0,Slovakia,https://media.api-sports.io/football/players/18886.png,GK,GK,GK,100.0,3150,6.99,50.3,45.2,37.7,47.4,38.1,50.6
18901,S. Longstaff,Leeds,28.0,England,https://media.api-sports.io/football/players/18901.png,CM,CM,CM,100.0,1046,6.9,26.1,51.2,70.2,63.3,60.1,48.2
18911,N. Pope,Newcastle,33.0,England,https://media.api-sports.io/football/players/18911.png,GK,GK,GK,100.0,2426,6.94,20.5,14.2,36.3,77.4,55.6,83.1
18929,D. McNeil,Everton,26.0,England,https://media.api-sports.io/football/players/18929.png,RW,RW,W,78.6,1189,6.63,35.6,33.8,31.2,18.5,19.6,20.7
18931,C. Wood,Nottingham Forest,34.0,New Zealand,https://media.api-sports.io/football/players/18931.png,ST,ST,FW,100.0,906,6.61,47.8,39.3,20.1,46.0,32.9,30.4
18959,Robert Sánchez,Chelsea,28.0,Spain,https://media.api-sports.io/football/players/18959.png,GK,GK,GK,100.0,3054,6.91,69.0,94.2,78.4,47.4,55.9,50.6
18961,D. Burn,Newcastle,33.0,England,https://media.api-sports.io/football/players/18961.png,CB,CB,CB,56.0,2209,6.59,31.6,42.2,51.1,41.9,34.9,63.1
18963,L. Dunk,Brighton,34.0,England,https://media.api-sports.io/football/players/18963.png,CB,CB,CB,100.0,2844,6.95,84.4,73.1,41.4,57.8,46.5,40.9
18968,Y. Bissouma,Tottenham,29.0,Mali,https://media.api-sports.io/football/players/18968.png,CM,CM,CM,71.4,605,6.64,58.8,42.9,12.7,37.9,25.9,50.9
18970,P. Groß,Brighton,34.0,Germany,https://media.api-sports.io/football/players/18970.png,CDM,CDM,DM,77.8,1636,7.05,64.9,88.8,81.8,58.0,58.5,76.0
18979,V. Gyökeres,Arsenal,27.0,Sweden,https://media.api-sports.io/football/players/18979.png,ST,ST,FW,100.0,2254,6.62,25.4,40.5,48.7,42.9,49.0,64.4
19025,T. Cairney,Fulham,34.0,Scotland,https://media.api-sports.io/football/players/19025.png,CDM,CDM,DM,66.7,814,6.81,76.9,82.1,51.1,72.0,65.4,49.9
19032,R. Sessegnon,Fulham,25.0,England,https://media.api-sports.io/football/players/19032.png,LB,LB,FB,90.0,1822,6.62,30.4,34.4,40.2,64.8,54.9,68.4
19071,E. Buendía,Aston Villa,29.0,Argentina,https://media.api-sports.io/football/players/19071.png,LW,LW,W,81.0,1796,6.85,54.6,71.3,46.3,62.5,49.0,49.0
19088,D. Henderson,Crystal Palace,28.0,England,https://media.api-sports.io/football/players/19088.png,GK,GK,GK,100.0,3330,6.94,57.8,46.1,57.4,55.5,61.5,50.6
