player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history
24760,G. Mamardashvili,GK,10,,0,10,100.0,0,GK:10
162511,S. Lammens,GK,32,,0,32,100.0,0,GK:32
20355,A. Ramsdale,GK,11,,0,11,100.0,0,GK:11
70366,John Victor,GK,5,,0,5,100.0,0,GK:5
286616,F. Jorgensen,GK,3,,0,3,100.0,0,GK:3
25004,S. Ortega,GK,3,,0,3,100.0,0,GK:3
61742,H. R. Valdimarsson,GK,1,,0,1,100.0,0,GK:1
278454,M. Ellborg,GK,3,,0,3,100.0,0,GK:3
22157,W. Benitez,GK,1,,0,1,100.0,0,GK:1
265826,A. Kinsky,GK,7,,0,7,100.0,0,GK:7
19341,D. Bentley,GK,3,,0,3,100.0,0,GK:3
18889,F. Woodman,GK,2,,0,2,100.0,0,GK:2
328273,M. Weiss,GK,3,,0,3,100.0,0,GK:3
2273,K. Arrizabalaga,GK,1,,0,1,100.0,0,GK:1
206254,M. Kerkez,LB,27,,0,27,100.0,0,LB:27
162267,A. Truffert,LB,38,,0,38,100.0,0,LB:38
2724,L. Digne,LB,21,,0,21,100.0,0,LB:21
157052,R. Calafiori,LB,22,,0,22,100.0,0,LB:22
138816,I. Maatsen,LB,17,,0,17,100.0,0,LB:17
2165,V. Mykolenko,LB,33,,0,33,100.0,0,LB:33
18816,A. Masuaku,LB,2,,0,2,100.0,0,LB:2
289,A. Robertson,LB,11,,0,11,100.0,0,LB:11
162076,D. Cirkin,LB,3,,0,3,100.0,0,LB:3
164,B. Davies,LB,2,,0,2,100.0,0,LB:2
19346,R. Henry,LB,13,LWB,1,14,92.9,0,LB:13 | LWB:1
21138,R. Ait-Nouri,LB,11,CAM,1,12,91.7,0,LB:11 | CAM:1
47380,M. Cucurella,LB,28,LWB,2,31,90.3,0,LB:28 | LWB:2 | LW:1
19032,R. Sessegnon,LB,18,LWB,1,20,90.0,0,LB:18 | LWB:1 | RW:1
19549,A. Robinson,LB,15,LWB,2,17,88.2,0,LB:15 | LWB:2
284492,L. Hall,LB,21,LWB,2,24,87.5,0,LB:21 | LWB:2 | RB:1
204039,D. Udogie,LB,12,LWB,2,14,85.7,0,LB:12 | LWB:2
22225,R. Mandava,LB,18,LWB,5,23,78.3,0,LB:18 | LWB:5
327730,O. Scarles,LB,7,RB,1,9,77.8,0,LB:7 | RB:1 | RWB:1
307123,N. O'Reilly,LB,22,CM,3,29,75.9,0,LB:22 | CM:3 | LM:3 | CDM:1
138780,N. Williams,LB,27,RB,5,36,75.0,0,LB:27 | RB:5 | LWB:2 | RWB:2
641,O. Zinchenko,LB,3,LWB,1,4,75.0,0,LB:3 | LWB:1
19235,D. Spence,LB,17,RB,2,23,73.9,0,LB:17 | RB:2 | LWB:2 | RWB:1 | RW:1
1361,F. Kadioglu,LB,25,RB,4,34,73.5,0,LB:25 | RB:4 | RW:3 | LW:1 | RWB:1
409303,M. Diouf,LB,22,LWB,8,30,73.3,0,LB:22 | LWB:8
163069,L. Netz,LB,2,LWB,1,3,66.7,0,LB:2 | LWB:1
127817,P. Hincapie,LB,13,CB,7,20,65.0,0,LB:13 | CB:7
162007,M. De Cuyper,LB,11,LW,5,17,64.7,0,LB:11 | LW:5 | LWB:1
44871,A. Hickey,LB,5,LWB,1,8,62.5,0,LB:5 | LWB:1 | RB:1 | CM:1
375915,Q. Hartman,LB,13,LWB,8,21,61.9,0,LB:13 | LWB:8
891,L. Shaw,LB,20,CB,17,38,52.6,0,LB:20 | CB:17 | LWB:1
106725,K. Lewis-Potter,LB,10,RW,6,22,45.5,0,LB:10 | RW:6 | LWB:3 | LW:3
37724,C. Summerville,LM,13,LW,8,29,44.8,0,LM:13 | LW:8 | CAM:4 | ST:3 | RW:1
106835,K. Mitoma,LW,19,,0,19,100.0,0,LW:19
153066,F. Carvalho,LW,1,,0,1,100.0,0,LW:1
127769,G. Martinelli,LW,11,,0,11,100.0,0,LW:11
162128,W. Gnonto,LW,4,,0,4,100.0,0,LW:4
19187,J. Grealish,LW,18,,0,18,100.0,0,LW:18
1946,L. Trossard,LW,21,,0,21,100.0,0,LW:21
19128,J. Harrison,LW,1,,0,1,100.0,0,LW:1
237819,Kevin,LW,9,,0,9,100.0,0,LW:9
404574,Luis Guilherme,LW,1,,0,1,100.0,0,LW:1
334037,T. George,LW,1,,0,1,100.0,0,LW:1
452685,R. Ngumoha,LW,5,,0,5,100.0,0,LW:5
417653,J. Derry,LW,1,,0,1,100.0,0,LW:1
284324,A. Garnacho,LW,13,LM,1,14,92.9,0,LW:13 | LM:1
1696,S. Chukwueze,LW,9,RW,1,10,90.0,0,LW:9 | RW:1
301771,S. Adingra,LW,8,LM,1,9,88.9,0,LW:8 | LM:1
2298,C. Hudson-Odoi,LW,17,RW,4,21,81.0,0,LW:17 | RW:4
19071,E. Buendia,LW,17,LM,3,21,81.0,0,LW:17 | LM:3 | CAM:1
286894,J. Gittens,LW,4,RM,1,5,80.0,0,LW:4 | RM:1
178077,K. Schade,LW,25,ST,6,32,78.1,0,LW:25 | ST:6 | LM:1
247,C. Gakpo,LW,23,ST,8,32,71.9,0,LW:23 | ST:8 | CAM:1
129682,A. Adli,LW,7,RW,3,10,70.0,0,LW:7 | RW:3
18778,H. Barnes,LW,13,RW,5,19,68.4,0,LW:13 | RW:5 | LM:1
138787,A. Gordon,LW,16,ST,8,24,66.7,0,LW:16 | ST:8
311543,N. Angulo,LW,3,LM,1,5,60.0,0,LW:3 | LM:1 | RW:1
270510,M. Tel,LW,7,ST,3,13,53.8,0,LW:7 | ST:3 | LM:2 | CAM:1
284414,R. Mundle,LW,1,LM,1,2,50.0,0,LW:1 | LM:1
1422,J. Doku,LW,8,LM,7,19,42.1,0,LW:8 | LM:7 | CAM:4
1165,M. Cunha,LW,12,ST,9,29,41.4,0,LW:12 | ST:9 | CAM:7 | RW:1
196855,J. Anthony,LW,13,LM,12,32,40.6,0,LW:13 | LM:12 | CAM:7
19281,A. Semenyo,LW,15,RW,10,37,40.5,0,LW:15 | RW:10 | RM:6 | ST:3 | LM:2 | CAM:1
336564,W. Odobert,LW,4,CAM,3,10,40.0,0,LW:4 | CAM:3 | RW:3
48389,N. Okafor,LW,7,ST,7,19,36.8,0,LW:7 | ST:7 | CAM:4 | LM:1
6056,N. Dominguez,LW,6,CM,5,17,35.3,0,LW:6 | CM:5 | CDM:4 | RW:1 | CAM:1
19245,M. Tavernier,LW,10,CAM,9,31,32.3,0,LW:10 | CAM:9 | RW:5 | CDM:5 | CM:2
182201,T. Mitchell,LWB,36,,0,36,100.0,0,LWB:36
380703,R. Cardines,LWB,1,,0,1,100.0,0,LWB:1
265782,D. M. Wolfe,LWB,10,LB,1,11,90.9,0,LWB:10 | LB:1
280687,H. Bueno,LWB,20,LB,5,26,76.9,0,LWB:20 | LB:5 | RWB:1
330238,Lucas Pires,LWB,9,LB,6,15,60.0,0,LWB:9 | LB:6
47969,G. Gudmundsson,LWB,17,LB,13,31,54.8,0,LWB:17 | LB:13 | LM:1
382452,P. Dorgu,LWB,8,LW,5,15,53.3,0,LWB:8 | LW:5 | RW:1 | CAM:1
414455,Souza,LWB,1,RM,1,2,50.0,0,LWB:1 | RM:1
18869,A. Smith,RB,14,,0,14,100.0,0,RB:14
19298,M. Cash,RB,34,,0,34,100.0,0,RB:34
92993,M. Wieffer,RB,23,,0,23,100.0,0,RB:23
657,K. Tete,RB,21,,0,21,100.0,0,RB:21
