alias,current_club_id,evidence
Dnipro Dnipropetrovsk (-2020),339,1
Dundee FC,511,1
Dundee United FC,1519,1
Dynamo Kyiv,338,1
EA Guingamp,855,1
ESTAC Troyes,1095,1
Eintracht Braunschweig,23,1
Eintracht Frankfurt,24,19
Elazigspor,2292,1
Elche,1531,18
Elche CF,1531,19
Enisey Krasnoyarsk,3714,1
Envigado FC,7136,1
Epicentr Kamyanets-Podilskyi,84122,1
Erzurumspor FK,39722,1
Esbjerg fB,3426,1
Eskisehirspor,825,1
Espanyol,714,17
Esporte Clube Bahia,10010,1
Esporte Clube Juventude,10492,1
Esporte Clube Vitória,2125,1
Everton,29,19
Everton FC,29,19
Excelsior Rotterdam,798,1
Eyüpspor,7160,1
FC Alverca,2521,1
FC Arouca,8024,1
FC Augsburg,167,17
FC Baník Ostrava a.s.,377,1
FC Barcelona,131,24
FC Basel 1893,26,1
FC Blau-Weiss Linz,2157,1
FC Botosani,8818,1
FC Copenhagen,190,1
FC Crotone,4083,1
FC Dallas,8816,1
FC Dinamo 1948,312,1
FC Dordrecht,1455,1
FC Emmen,1283,1
FC Empoli,749,1
FC Famalicão,3329,1
FC Fredericia,5776,1
FC Girondins Bordeaux,40,1
FC Groningen,202,1
FC Helsingör,22110,1
FC Hermannstadt,58049,1
FC Hradec Kralove,1897,1
FC Ingolstadt 04,4795,1
FC Juárez,49283,1
FC Khimki (-2025),3719,1
FC Kudrivka,87883,1
FC Lorient,1158,20
FC Lugano,2790,1
FC Luzern,434,1
FC Metaloglobus Bucharest,37624,1
FC Metz,347,21
FC Midtjylland,865,2
FC Minaj,61825,1
FC Nantes,995,18
FC Nordsjaelland,2778,1
FC Oleksandriya,18303,1
FC Orenburg,14589,1
FC Paços de Ferreira,2995,1
FC Penafiel,3327,1
FC Porto,720,1
FC Rapid 1923,455,1
FC Rubin Kazan,2698,1
FC Schalke 04,33,1
FC Shakhtar Donetsk,660,2
FC Sion,321,1
FC Slovan Liberec,697,1
FC Sochaux-Montbéliard,750,1
FC St. Gallen 1879,257,1
FC St. Pauli,35,19
FC Thun,938,1
FC Tosno (-2018),40426,1
FC Toulouse,415,18
FC Twente Enschede,317,1
FC Universitatea Cluj,6429,1
FC Utrecht,200,1
FC Vestsjaelland,20100,1
FC Viktoria Plzen,941,1
FC Vizela,6912,1
FC Volendam,724,1
FC Winterthur,242,1
FC Zlin,5545,1
FC Zürich,260,1
FCSB,301,1
FCV Dender EH,9010,1
FCV Farul Constanta,29831,1
FK Baltika,2741,1
FK Csikszereda Miercurea Ciuc,37255,1
FK Cukaricki,6621,1
FK Dinamo Moskva,121,1
FK Dukla Prague,450,1
FK Haugesund,2761,1
FK IMT Belgrad,32113,1
FK Jablonec,1322,1
FK Javor-Matis Ivanjica,8819,1
FK Jedinstvo Ub,20887,1
FK Krasnodar,16704,1
FK Mariupol,6993,1
FK Mlada Boleslav,5546,1
FK Mladost Lucani,6622,1
FK Napredak Krusevac,788,1
FK Nizhny Novgorod,49702,1
FK Novi Pazar,4633,1
FK Pardubice,1496,1
FK Partizan Belgrade,669,1
FK Polissya Zhytomyr,53646,1
FK Radnicki 1923 Kragujevac,4645,1
FK Radnicki Nis,7567,1
FK Radnik Surdulica,33328,1
FK Rostov,1083,1
FK Sevastopol (- 2014),16245,1
