api_football_player_id,player_name,player_full_name,current_team,league,transfermarkt_player_id,transfermarkt_name,transfermarkt_club,market_value_eur,market_value_m_eur,valuation_date,transfermarkt_url,match_confidence,match_score,match_margin,match_method,source
84086,Robert Navarro,Roberto Navarro Muñoz,Athletic Club,La Liga,563137,Robert Navarro,Athletic Bilbao,6000000,6.0,2026-06-05,https://www.transfermarkt.co.uk/robert-navarro/profil/spieler/563137,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
47007,Ruíz de Galarreta,Íñigo Ruíz de Galarreta Etxeberria,Athletic Club,La Liga,126751,Iñigo Ruiz de Galarreta,Athletic Bilbao,2000000,2.0,2026-06-05,https://www.transfermarkt.co.uk/inigo-ruiz-de-galarreta/profil/spieler/126751,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
332308,Unai Gómez,Unai Gómez Etxebarria,Athletic Club,La Liga,834752,Unai Gómez,Athletic Bilbao,5000000,5.0,2026-06-05,https://www.transfermarkt.co.uk/unai-gomez/profil/spieler/834752,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
47270,Unai Simón,Unai Simón Mendibil,Athletic Club,La Liga,262396,Unai Simón,Athletic Bilbao,22000000,22.0,2026-06-05,https://www.transfermarkt.co.uk/unai-simon/profil/spieler/262396,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
47271,Yeray,Yeray Álvarez López,Athletic Club,La Liga,255488,Yeray Álvarez,Athletic Bilbao,900000,0.9,2026-06-05,https://www.transfermarkt.co.uk/yeray-alvarez/profil/spieler/255488,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
47273,Yuri,Yuri Berchiche Izeta,Athletic Club,La Liga,61812,Yuri Berchiche,Athletic Bilbao,1000000,1.0,2026-06-05,https://www.transfermarkt.co.uk/yuri-berchiche/profil/spieler/61812,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
30510,Álex Berenguer,Alejandro Berenguer Remiro,Athletic Club,La Liga,338425,Álex Berenguer,Athletic Bilbao,4000000,4.0,2026-06-05,https://www.transfermarkt.co.uk/alex-berenguer/profil/spieler/338425,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
56,A. Griezmann,Antoine Griezmann,Atletico Madrid,La Liga,125781,Antoine Griezmann,Atlético de Madrid,8000000,8.0,2026-06-05,https://www.transfermarkt.co.uk/antoine-griezmann/profil/spieler/125781,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
18767,A. Lookman,Ademola Lookman Olajade Alade Aylola Lookman,Atletico Madrid,La Liga,406040,Ademola Lookman,Atalanta BC,40000000,40.0,2026-06-05,https://www.transfermarkt.co.uk/ademola-lookman/profil/spieler/406040,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
8492,A. Sørloth,Alexander Sørloth,Atletico Madrid,La Liga,238407,Alexander Sørloth,Atlético de Madrid,18000000,18.0,2026-06-05,https://www.transfermarkt.co.uk/alexander-sorloth/profil/spieler/238407,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
133,C. Lenglet,Clément Nicolas Laurent Lenglet,Atletico Madrid,La Liga,182904,Clément Lenglet,Atlético de Madrid,4000000,4.0,2026-06-05,https://www.transfermarkt.co.uk/clement-lenglet/profil/spieler/182904,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
30399,D. Hancko,Dávid Hancko,Atletico Madrid,La Liga,404418,Dávid Hancko,Atlético de Madrid,35000000,35.0,2026-06-05,https://www.transfermarkt.co.uk/david-hancko/profil/spieler/404418,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
323935,G. Simeone,Giuliano Simeone Baldini,Atletico Madrid,La Liga,742201,Giuliano Simeone,Atlético de Madrid,40000000,40.0,2026-06-05,https://www.transfermarkt.co.uk/giuliano-simeone/profil/spieler/742201,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
133185,J. Cardoso,João Lucas de Souza Cardoso,Atletico Madrid,La Liga,689505,Johnny Cardoso,Atlético de Madrid,20000000,20.0,2026-06-05,https://www.transfermarkt.co.uk/johnny-cardoso/profil/spieler/689505,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
31,J. Giménez,José María Giménez de Vargas,Atletico Madrid,La Liga,250845,José María Giménez,Atlético de Madrid,9000000,9.0,2026-06-05,https://www.transfermarkt.co.uk/jose-maria-gimenez/profil/spieler/250845,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
2465,J. Musso,Juan Agustín Musso,Atletico Madrid,La Liga,242359,Juan Musso,Atlético de Madrid,3000000,3.0,2026-06-05,https://www.transfermarkt.co.uk/juan-musso/profil/spieler/242359,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
29,J. Oblak,Jan Oblak,Atletico Madrid,La Liga,121483,Jan Oblak,Atlético de Madrid,15000000,15.0,2026-06-05,https://www.transfermarkt.co.uk/jan-oblak/profil/spieler/121483,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
6009,J. Álvarez,Julián Álvarez,Atletico Madrid,La Liga,576024,Julián Alvarez,Atlético de Madrid,100000000,100.0,2026-06-05,https://www.transfermarkt.co.uk/julian-alvarez/profil/spieler/576024,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
162012,M. Ruggeri,Matteo Ruggeri,Atletico Madrid,La Liga,616631,Matteo Ruggeri,Atlético de Madrid,28000000,28.0,2026-06-05,https://www.transfermarkt.co.uk/matteo-ruggeri/profil/spieler/616631,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
295793,Marc Pubill,Marc Pubill Pagès,Atletico Madrid,La Liga,844637,Marc Pubill,Atlético de Madrid,35000000,35.0,2026-06-05,https://www.transfermarkt.co.uk/marc-pubill/profil/spieler/844637,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
753,Marcos Llorente,Marcos Llorente Moreno,Atletico Madrid,La Liga,282411,Marcos Llorente,Atlético de Madrid,20000000,20.0,2026-06-05,https://www.transfermarkt.co.uk/marcos-llorente/profil/spieler/282411,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
26315,N. González,Nicolás Iván González,Atletico Madrid,La Liga,486031,Nico González,Juventus FC,22000000,22.0,2026-06-05,https://www.transfermarkt.co.uk/nico-gonzalez/profil/spieler/486031,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
6503,N. Molina,Nahuel Molina Lucero,Atletico Madrid,La Liga,424042,Nahuel Molina,Atlético de Madrid,15000000,15.0,2026-06-05,https://www.transfermarkt.co.uk/nahuel-molina/profil/spieler/424042,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
313383,O. Vargas,Obed Gómez Vargas,Atletico Madrid,La Liga,889435,Obed Vargas,Atlético de Madrid,10000000,10.0,2026-06-05,https://www.transfermarkt.co.uk/obed-vargas/profil/spieler/889435,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
336594,Pablo Barrios,Pablo Barrios Rivas,Atletico Madrid,La Liga,775605,Pablo Barrios,Atlético de Madrid,55000000,55.0,2026-06-05,https://www.transfermarkt.co.uk/pablo-barrios/profil/spieler/775605,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
47301,Robin Le Normand,Robin Aime Robert Le Normand,Atletico Madrid,La Liga,351809,Robin Le Normand,Atlético de Madrid,20000000,20.0,2026-06-05,https://www.transfermarkt.co.uk/robin-le-normand/profil/spieler/351809,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
6067,T. Almada,Thiago Ezequiel Almada,Atletico Madrid,La Liga,576028,Thiago Almada,Atlético de Madrid,15000000,15.0,2026-06-05,https://www.transfermarkt.co.uk/thiago-almada/profil/spieler/576028,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
182219,Álex Baena,Alejandro Baena Rodríguez,Atletico Madrid,La Liga,548111,Álex Baena,Atlético de Madrid,40000000,40.0,2026-06-05,https://www.transfermarkt.co.uk/alex-baena/profil/spieler/548111,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
2282,A. Christensen,Andreas Bødtker Christensen,Barcelona,La Liga,196948,Andreas Christensen,FC Barcelona,8000000,8.0,2026-06-05,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
161928,Alejandro Balde,Alejandro Balde Martínez,Barcelona,La Liga,636688,Alejandro Balde,FC Barcelona,50000000,50.0,2026-06-05,https://www.transfermarkt.co.uk/alejandro-balde/profil/spieler/636688,high,0.9871,0.2628,name_club_age,transfermarkt_dataset
1323,Dani Olmo,Daniel Olmo Carvajal,Barcelona,La Liga,293385,Dani Olmo,FC Barcelona,60000000,60.0,2026-06-05,https://www.transfermarkt.co.uk/dani-olmo/profil/spieler/293385,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
619,Eric García,Eric García Martret,Barcelona,La Liga,466794,Eric García,FC Barcelona,40000000,40.0,2026-06-05,https://www.transfermarkt.co.uk/eric-garcia/profil/spieler/466794,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
538,F. de Jong,Frenkie de Jong,Barcelona,La Liga,326330,Frenkie de Jong,FC Barcelona,35000000,35.0,2026-06-05,https://www.transfermarkt.co.uk/frenkie-de-jong/profil/spieler/326330,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
340626,Fermín,Fermín López Martín,Barcelona,La Liga,636703,Fermín López,FC Barcelona,100000000,100.0,2026-06-05,https://www.transfermarkt.co.uk/fermin-lopez/profil/spieler/636703,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
