league_id,league,season,team_id,team,matches_analyzed,avg_possession,avg_total_shots,avg_shots_on_target,avg_shots_inside_box,avg_corners,avg_total_passes,avg_accurate_passes,avg_pass_accuracy,shots_per_100_passes,shot_accuracy,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
140,La Liga,2025,727,Osasuna,38,46.84,11.84,3.97,8.29,3.74,386.37,310.42,78.97,3.06,33.56,40.6,24.5,46.7,34.8,74.0,41.7
140,La Liga,2025,718,Oviedo,38,46.03,9.92,3.13,6.37,3.95,390.76,319.55,80.89,2.54,31.56,33.3,37.3,8.5,19.7,17.7,16.7
140,La Liga,2025,728,Rayo Vallecano,38,53.45,13.97,4.84,7.76,5.68,417.32,343.18,81.66,3.35,34.65,69.8,49.6,67.7,77.4,90.6,56.2
140,La Liga,2025,543,Real Betis,38,50.18,14.21,4.82,8.34,4.5,470.45,400.0,84.21,3.02,33.89,52.1,70.2,74.7,64.1,70.8,47.9
140,La Liga,2025,541,Real Madrid,38,59.39,17.47,6.66,11.13,6.29,587.05,526.39,89.18,2.98,38.1,93.8,96.4,95.6,95.2,64.6,91.7
140,La Liga,2025,548,Real Sociedad,38,51.26,12.34,4.61,7.61,5.55,448.13,372.55,82.18,2.75,37.31,62.5,56.2,51.6,61.5,39.6,86.5
140,La Liga,2025,536,Sevilla,38,50.92,11.5,3.61,7.18,4.79,405.13,329.47,80.0,2.84,31.35,58.3,36.8,26.5,47.7,46.9,13.5
140,La Liga,2025,532,Valencia,38,47.63,11.82,3.24,7.68,5.08,405.92,331.68,80.71,2.91,27.39,44.8,41.9,28.5,48.6,54.2,4.2
140,La Liga,2025,533,Villarreal,38,44.53,11.97,4.53,8.45,4.18,409.03,340.0,82.11,2.93,37.8,24.0,50.0,56.3,34.4,58.3,88.5
61,Ligue 1,2025,77,Angers,34,41.82,9.29,3.29,5.88,3.56,398.09,328.97,81.97,2.33,35.44,6.2,44.6,6.7,4.6,6.2,68.8
61,Ligue 1,2025,108,Auxerre,34,43.91,10.71,3.5,6.94,4.76,372.85,299.53,79.62,2.87,32.69,17.7,24.2,17.4,27.1,47.9,26.0
61,Ligue 1,2025,111,Le Havre,34,46.82,10.94,3.65,6.76,4.26,376.03,304.65,80.29,2.91,33.33,39.6,31.2,20.0,30.1,54.2,37.5
61,Ligue 1,2025,116,Lens,34,51.12,16.44,5.56,11.47,6.21,463.53,393.79,84.24,3.55,33.81,60.4,68.4,93.3,83.5,97.9,46.9
61,Ligue 1,2025,79,Lille,34,55.85,13.62,4.65,9.56,5.71,496.88,423.91,85.09,2.74,34.13,82.3,80.3,76.6,80.0,38.5,51.0
61,Ligue 1,2025,97,Lorient,34,45.35,11.32,3.94,7.12,3.5,427.03,362.03,83.94,2.65,34.81,27.1,61.3,30.6,22.5,25.0,57.3
61,Ligue 1,2025,80,Lyon,34,54.62,12.26,4.68,8.32,5.88,466.88,399.18,84.71,2.63,38.13,77.1,70.5,62.0,67.5,21.9,92.7
61,Ligue 1,2025,81,Marseille,34,56.94,15.09,5.71,9.62,5.18,540.71,475.79,87.15,2.79,37.82,85.4,91.7,86.7,81.7,44.8,89.6
61,Ligue 1,2025,112,Metz,34,48.94,10.06,3.18,6.26,4.24,451.74,387.85,85.24,2.23,31.58,50.0,72.0,9.3,27.2,5.2,17.7
61,Ligue 1,2025,91,Monaco,34,53.79,12.53,4.44,9.18,5.06,480.44,403.26,83.32,2.61,35.45,74.0,67.2,63.0,63.6,19.8,69.8
61,Ligue 1,2025,83,Nantes,33,42.03,11.3,3.3,7.3,3.7,349.06,275.85,77.85,3.24,29.22,7.3,11.3,22.7,18.2,86.5,7.3
61,Ligue 1,2025,84,Nice,36,46.69,11.28,4.0,7.33,5.14,418.14,346.33,81.86,2.7,35.47,36.5,50.6,33.2,40.3,30.2,70.8
61,Ligue 1,2025,114,Paris FC,34,50.38,11.68,3.97,7.79,4.38,467.88,397.12,84.03,2.5,34.01,55.2,67.5,41.0,43.8,15.6,49.0
61,Ligue 1,2025,85,Paris Saint Germain,34,68.79,17.71,6.68,11.18,6.35,723.03,659.71,91.06,2.45,37.71,100.0,100.0,96.7,98.3,13.5,87.5
