player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history,position_source,broad_position
876,N. Fagioli,CAM,0,CM,0,0,57.8,0,,statistical_fallback,Midfielder
22093,R. Cabella,CAM,0,CM,0,0,57.7,0,,statistical_fallback,Midfielder
15592,J. Stage,CAM,0,CM,0,0,57.6,0,,statistical_fallback,Midfielder
122657,R. Nteka,CAM,0,CM,0,0,57.6,0,,statistical_fallback,Midfielder
511,L. Goretzka,CAM,0,CM,0,0,57.5,0,,statistical_fallback,Midfielder
48465,F. Ugrinic,CAM,0,CM,0,0,57.4,0,,statistical_fallback,Midfielder
47414,Gumbau,CAM,0,CM,0,0,57.3,0,,statistical_fallback,Midfielder
348205,P. Sučić,CAM,0,CM,0,0,57.3,0,,statistical_fallback,Midfielder
20925,V. Marchetti,CAM,0,CM,0,0,57.3,0,,statistical_fallback,Midfielder
3406,A. Zambo Anguissa,CAM,0,CM,0,0,57.2,0,,statistical_fallback,Midfielder
356888,N. Pisilli,CAM,0,CM,0,0,57.2,0,,statistical_fallback,Midfielder
37153,W. Burger,CAM,0,CM,0,0,57.2,0,,statistical_fallback,Midfielder
24854,G. Prömel,CAM,0,CM,0,0,57.1,0,,statistical_fallback,Midfielder
305730,J. Hinshelwood,CAM,11,CDM,5,20,55.0,0,CAM:11 | CDM:5 | CM:3 | RB:1,lineup_history,Midfielder
347316,L. Bergvall,CAM,6,CM,3,11,54.5,0,CAM:6 | CM:3 | LW:1 | RW:1,lineup_history,Midfielder
37882,M. Edwards,CAM,6,RW,4,11,54.5,0,CAM:6 | RW:4 | RM:1,lineup_history,Attacker
20589,B. Mbeumo,CAM,16,ST,8,31,51.6,0,CAM:16 | ST:8 | RW:5 | LW:2,lineup_history,Attacker
1485,Bruno Fernandes,CAM,18,CM,17,35,51.4,0,CAM:18 | CM:17,lineup_history,Midfielder
19170,M. Rogers,CAM,19,LW,14,37,51.4,0,CAM:19 | LW:14 | ST:3 | RW:1,lineup_history,Midfielder
361485,A. Tóth,CAM,1,CDM,1,2,50.0,0,CAM:1 | CDM:1,lineup_history,Midfielder
19586,E. Eze,CAM,11,CM,7,22,50.0,0,CAM:11 | CM:7 | LW:4,lineup_history,Midfielder
391822,Fer López,CAM,1,CM,1,2,50.0,0,CAM:1 | CM:1,lineup_history,Attacker
90590,G. Rutter,CAM,10,ST,9,20,50.0,0,CAM:10 | ST:9 | RW:1,lineup_history,Attacker
158697,J. McAtee,CAM,1,LM,1,2,50.0,0,CAM:1 | LM:1,lineup_history,Midfielder
1646,Lucas Paquetá,CAM,9,CM,5,18,50.0,0,CAM:9 | CM:5 | ST:3 | LW:1,lineup_history,Attacker
129711,B. Johnson,CAM,9,LW,4,19,47.4,0,CAM:9 | LW:4 | RW:4 | RWB:1 | RM:1,lineup_history,Attacker
162016,X. Simons,CAM,9,LW,7,19,47.4,0,CAM:9 | LW:7 | ST:2 | LM:1,lineup_history,Attacker
286458,J. Devenny,CAM,3,RWB,2,7,42.9,0,CAM:3 | RWB:2 | LW:1 | LWB:1,lineup_history,Midfielder
266657,Sávio,CAM,3,RM,2,7,42.9,0,CAM:3 | RM:2 | LM:2,lineup_history,Attacker
1096,D. Szoboszlai,CAM,14,RB,8,36,38.9,0,CAM:14 | RB:8 | CDM:6 | RW:6 | CM:1 | ST:1,lineup_history,Midfielder
20638,E. Le Fée,CAM,12,LW,10,33,36.4,0,CAM:12 | LW:10 | LM:4 | CM:4 | CDM:2 | ST:1,lineup_history,Midfielder
47438,M. Jensen,CAM,9,CDM,8,26,34.6,0,CAM:9 | CDM:8 | CM:6 | RW:3,lineup_history,Midfielder
405360,H. Armstrong,CAM,2,LW,2,6,33.3,0,CAM:2 | LW:2 | CM:1 | RW:1,lineup_history,Midfielder
21998,A. Disasi,CB,14,,0,14,100.0,0,CB:14,lineup_history,Defender
402329,A. Heaven,CB,11,,0,11,100.0,0,CB:11,lineup_history,Defender
95,B. Badiashile,CB,6,,0,6,100.0,0,CB:6,lineup_history,Defender
22136,B. Diakité,CB,15,,0,15,100.0,0,CB:15,lineup_history,Defender
278898,C. Riad,CB,6,,0,6,100.0,0,CB:6,lineup_history,Defender
126949,C. Richards,CB,31,,0,31,100.0,0,CB:31,lineup_history,Defender
30776,C. Romero,CB,22,,0,22,100.0,0,CB:22,lineup_history,Defender
55904,D. Ballard,CB,24,,0,24,100.0,0,CB:24,lineup_history,Defender
342063,D. Coppola,CB,2,,0,2,100.0,0,CB:2,lineup_history,Defender
135068,E. Agbadou,CB,12,,0,12,100.0,0,CB:12,lineup_history,Defender
19354,E. Konsa,CB,34,,0,34,100.0,0,CB:34,lineup_history,Defender
19789,E. Pinnock,CB,4,,0,4,100.0,0,CB:4,lineup_history,Defender
2806,F. Schär,CB,11,,0,11,100.0,0,CB:11,lineup_history,Defender
22224,Gabriel Magalhães,CB,30,,0,30,100.0,0,CB:30,lineup_history,Defender
47903,H. Ekdal,CB,17,,0,17,100.0,0,CB:17,lineup_history,Defender
2935,H. Maguire,CB,19,,0,19,100.0,0,CB:19,lineup_history,Defender
18814,I. Diop,CB,8,,0,8,100.0,0,CB:8,lineup_history,Defender
1145,I. Konaté,CB,36,,0,36,100.0,0,CB:36,lineup_history,Defender
7600,Igor,CB,1,,0,1,100.0,0,CB:1,lineup_history,Defender
2729,J. Andersen,CB,33,,0,33,100.0,0,CB:33,lineup_history,Defender
