api_football_player_id,name,team,league,age,transfermarkt_player_id,contract_expiration_date,verified_primary_position,verified_secondary_position,verified_position_group,verified_position_source,verified_position_confidence,verified_position_history,transfermarkt_position,current_appearances,current_goals,current_assists,current_minutes,current_weighted_goals,current_weighted_assists,current_weighted_minutes,current_starts,recent_weighted_output,recent_weighted_minutes,recent_starts,current_weighted_output,current_output_per90,current_output_percentile,current_rate_percentile,current_minutes_percentile,recent_output_percentile,recent_minutes_percentile,production_score,proven_score,availability_score
541,J. Ekkelenkamp,Udinese,Serie A,25.0,361068.0,2029-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,33.0,5.0,4.0,2244.0,5.1,4.08,2284.2,27.0,12.2532,4062.7619999999997,49.0,7.9559999999999995,0.31347517730496455,85.3,88.2,61.3,84.2,67.4,72.1,73.3,85.1
184226,Yeremy Pino,Crystal Palace,Premier League,23.0,568157.0,2030-06-30 00:00:00,RW,LW,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,40.0,4.0,4.0,2589.0,3.81,3.95,2692.01,40.0,12.7592,4035.38,56.7,6.575,0.21981716264055481,59.6,18.1,80.4,60.2,72.9,49.2,64.7,97.7
162016,X. Simons,Tottenham,Premier League,22.0,566931.0,2030-06-30 00:00:00,CAM,LW,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,43.0,6.0,7.0,2749.0,6.66,7.5,2948.01,30.0,27.3005,5556.975,59.9,11.91,0.3636012089511229,81.1,69.7,82.0,86.9,90.2,78.3,88.0,100.0
2286,D. Zappacosta,Atalanta,Serie A,33.0,173859.0,2028-06-30 00:00:00,RM,LM,W,transfermarkt_profile_and_lineups,95.0,,Right Midfield,48.0,4.0,4.0,3607.0,4.26,4.08,3779.82,41.0,15.0933,6424.091,72.4,7.116,0.16943663983999238,62.3,7.2,97.0,69.6,97.9,48.6,79.5,100.0
325,G. Gaetano,Cagliari,Serie A,25.0,358008.0,2031-06-30 00:00:00,CDM,CAM,DM,transfermarkt_profile_and_lineups,95.0,,Defensive Midfield,35.0,3.0,4.0,2044.0,2.94,4.08,2068.92,23.0,10.447199999999999,3007.077,32.1,5.795999999999999,0.2521315468940316,87.4,93.7,47.1,90.2,41.4,65.2,58.5,77.8
1821,F. Kostić,Juventus,Serie A,33.0,161011.0,,LM,,W,transfermarkt_profile_and_lineups,95.0,,Left Midfield,25.0,3.0,1.0,648.0,3.06,1.02,638.91,5.0,7.8857,2351.793,28.0,3.774,0.5316241724186506,36.6,68.4,13.6,39.2,41.0,44.5,39.8,27.6
1266,T. Bašić,Lazio,Serie A,29.0,334835.0,2029-06-30 00:00:00,CM,,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,25.0,2.0,3.0,1913.0,2.04,3.06,1931.22,24.0,4.182,2290.446,28.2,4.182,0.1948923478422966,59.5,61.3,48.0,36.2,28.7,53.2,31.3,72.3
1910,M. Lopez,Paris FC,Ligue 1,28.0,290862.0,2027-06-30 00:00:00,CDM,CM,DM,transfermarkt_profile_and_lineups,95.0,,Defensive Midfield,26.0,0.0,3.0,1960.0,0.0,2.94,1920.8,22.0,2.058,2300.672,27.1,2.058,0.09642857142857142,52.3,55.7,43.7,34.5,27.6,47.6,30.0,71.7
19170,M. Rogers,Aston Villa,Premier League,23.0,503743.0,2031-06-30 00:00:00,CAM,LW,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,54.0,13.0,11.0,4474.0,13.9,11.96,4814.25,50.0,38.5056,7750.848,83.05000000000001,22.272,0.41636391961364694,95.1,82.0,99.2,95.9,99.2,91.8,97.0,100.0
20589,B. Mbeumo,Manchester United,Premier League,26.0,413039.0,2030-06-30 00:00:00,RW,ST,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,34.0,12.0,3.0,2670.0,12.63,3.24,2868.75,31.0,34.3812,5547.177000000001,58.5,14.898,0.46738823529411766,89.5,82.8,85.2,94.9,93.4,87.8,94.4,97.1
182770,Carlos Álvarez,Levante,La Liga,22.0,668179.0,2027-06-30 00:00:00,CAM,RW,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,30.0,3.0,1.0,1898.0,3.12,1.04,1973.92,23.0,3.848,1973.92,23.0,3.848,0.17544783983140147,37.7,9.8,57.4,19.7,24.6,30.7,21.4,72.9
2218,I. Sarr,Crystal Palace,Premier League,27.0,410225.0,2029-06-30 00:00:00,RW,ST,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,32.0,12.0,2.0,2509.0,11.97,1.83,2600.16,39.0,25.744800000000005,5034.657,64.55,13.251000000000001,0.4586602362931512,85.5,82.2,79.5,89.2,87.0,84.7,88.4,93.1
6067,T. Almada,Atletico Madrid,La Liga,24.0,576028.0,2030-06-30 00:00:00,LW,RW,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,40.0,4.0,2.0,1704.0,4.0200000000000005,1.94,1766.48,18.0,8.4085,2435.896,24.05,5.378,0.2740025361170237,51.2,35.2,52.1,41.9,43.7,47.2,42.5,67.7
31211,J. Vandeputte,Cremonese,Serie A,29.0,258827.0,2028-06-30 00:00:00,CM,LM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,33.0,1.0,6.0,2035.0,1.02,6.12,2065.74,24.0,5.304,2065.74,24.0,5.304,0.23108426036190424,71.0,72.0,53.8,48.0,23.7,61.5,32.2,77.8
782,L. Pellegrini,AS Roma,Serie A,29.0,286297.0,,CAM,,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,33.0,7.0,4.0,1989.0,7.380000000000001,4.24,2069.82,25.0,17.4797,4125.504,47.45,10.348,0.44995216975389163,77.0,84.4,59.8,73.8,72.1,78.9,73.2,77.9
24854,G. Prömel,1899 Hoffenheim,Bundesliga,30.0,234029.0,2029-06-30 00:00:00,CM,RW,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,34.0,8.0,2.0,1817.0,7.9,2.0,1809.9,17.0,11.55,2618.7400000000002,27.35,9.3,0.4624564893088016,90.0,98.9,43.0,82.1,34.1,64.1,50.9,66.8
276670,F. Chaïbi,Eintracht Frankfurt,Bundesliga,23.0,855015.0,2028-06-30 00:00:00,CAM,CM,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,38.0,3.0,10.0,2506.0,3.2,10.2,2584.8,28.0,14.605799999999999,4106.419,44.4,10.34,0.36002785515320335,76.2,68.0,77.9,63.9,71.3,74.2,66.5,93.3
226803,S. Nanasi,Strasbourg,Ligue 1,23.0,579928.0,2029-06-30 00:00:00,LW,CAM,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,20.0,7.0,2.0,1109.0,6.859999999999999,1.96,1072.56,18.0,14.70495,2372.1385,34.5,8.232,0.6907585589617364,69.9,89.5,28.9,67.8,41.9,74.8,58.7,48.1
