league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards
140,La Liga,2025,529,Barcelona,568001,X. Espart,,,18.0,,,,https://media.api-sports.io/football/players/568001.png,Defender,4.0,1.0,164.0,6.5,0.0,0.0,1.0,,130.0,,89.0,5.0,,5.0,3.0,3.0,24.0,16.0,4.0,,0.0,0.0
140,La Liga,2025,529,Barcelona,579244,Juan Hernández,,,18.0,,,,https://media.api-sports.io/football/players/579244.png,Midfielder,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,797,Elche,580677,David Delgado,,,17.0,,,,https://media.api-sports.io/football/players/580677.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,532,Valencia,584165,A. Panach,,,19.0,,,,https://media.api-sports.io/football/players/584165.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,546,Getafe,609740,L. Laso,,,22.0,,,,https://media.api-sports.io/football/players/609740.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,543,Real Betis,745,Isco,Francisco Román,Alarcón Suárez,33.0,Spain,176,79,https://media.api-sports.io/football/players/745.png,Midfielder,8.0,1.0,228.0,6.81,1.0,1.0,2.0,1.0,169.0,5.0,91.0,3.0,,2.0,2.0,1.0,29.0,14.0,9.0,4.0,0.0,0.0
140,La Liga,2025,530,Atletico Madrid,189997,Mario de Luis,Mario,de Luis Jiménez,23.0,Spain,185,75,https://media.api-sports.io/football/players/189997.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,727,Osasuna,311972,Mikel García,Mikel,Serrano García,22.0,Spain,187 cm,,https://media.api-sports.io/football/players/311972.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,542,Alaves,330440,Aitor Mañas,Aitor,Mañas Buenadicha,22.0,Spain,185 cm,,https://media.api-sports.io/football/players/330440.png,Defender,0.0,0.0,134.0,6.43,0.0,0.0,2.0,1.0,21.0,2.0,85.0,3.0,,1.0,7.0,2.0,29.0,9.0,1.0,2.0,0.0,0.0
140,La Liga,2025,531,Athletic Club,377257,Endika Bujan,Endika,Bujan de Rueda,22.0,Spain,170 cm,72 kg,https://media.api-sports.io/football/players/377257.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,546,Getafe,386187,Hugo Solozábal,Hugo,Solozábal Granados,22.0,Spain,178 cm,74 kg,https://media.api-sports.io/football/players/386187.png,Midfielder,1.0,0.0,10.0,6.3,0.0,0.0,,,5.0,,100.0,,,,,,2.0,,,,0.0,0.0
140,La Liga,2025,541,Real Madrid,396475,Fran González,Francisco Javier,González Pérez,20.0,Spain,199,72,https://media.api-sports.io/football/players/396475.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,548,Real Sociedad,403561,Gorka Carrera,Gorka,Carrera Zarranz,20.0,Spain,,,https://media.api-sports.io/football/players/403561.png,Attacker,3.0,0.0,59.0,6.33,0.0,0.0,1.0,1.0,12.0,,91.0,,,1.0,,,8.0,3.0,2.0,2.0,1.0,0.0
